Job title,Company,Location,Salary,Description
Data Analyst,Great Southern Bank,Brisbane QLD,None,"As a Data Analyst, you will leverage all Great Southern Bank data sources to provide analytics, reporting, insights for business stakeholders. You will help identify business opportunities that deliver customer growth, increased customer value and drive business outcomes by recommending data solutions. You will be a key contributor to our Enterprise Data team and will help drive broader Great Southern Bank team members to make data led business decisions. You will be flexible and creative to ensure the best data is used in each situation, while ensuring data has been appropriately tested, validated and manipulated before being distributed. You will understand how data moves through a business i.e. Extract Transform Load (ETL) and you contribute to interrogating, mapping, validating and documenting data transformations between raw and modelled data layers. About you… Essential Desirable What’s in it for you? We want you to make an impact. You can be part of a growing and innovative organisation, with the ability to influence the people, culture and practices of Great Southern Bank to keep us at the top of our game. You will be able to make a bigger difference with us! While we might be a bit smaller than the majors, your circle of influence is infinitely greater. You will see the immediate results of your work, be recognised for your achievements, and be provided with the support you need to help balance your career. We believe that investing in our people is central to upholding our great culture. To help you be at your best, we provide a collaborative, flexible and supportive working environment that helps you balance career, family, health and the things you love doing. We have a variety of employee benefits that you can access from discounted financial and insurance products, a variety of leave options, and benefits and incentives covering, health, wellness and lifestyle options. Read more about these exciting benefits on our careers site! At Great Southern Bank, we’re committed to building a strong, inclusive and diverse workplace, where people feel a sense of belonging, are valued, connected and respected. We value diverse backgrounds, cultures, abilities, ideas and experiences; recognising the benefits they bring to our work, our communities and the way we help our customers. We support and promote an inclusive culture through flexible ways of working, collaboration, fair and equitably decision making that empowers our people to be at their best every day. #LI-Hybrid"
Junior Digital Data Analyst,Greenstone,Norwest Business Park NSW,None,"Junior Digital Data Analyst  Full Time Opportunity  At Greenstone, we are truly analytics driven business, with analytics driving and informing decisions across all aspects of the business. In this role you will be responsible for monitoring and analysing our Search Engine Marketing, an area that has some of the richest datasets for analysis.  Greenstone is a medium-large business with multiple brands, but we don't silo our marketing activities. You will need to determine if and how advertisements from our own competing brands should be shown to potential customers. You will also have the opportunity to work with our existing machine learning models and provide input on the development of new ML models.  In this role you will have the opportunity to work with some of the most sophisticated data-driven marketing in Australia, you won't simply report on the performance of our search marketing, but rather be a key player and defining that performance!  Greenstone utilises digital website experimentation to improve the conversion rate of our website visitors. You will help report on the success of Greenstone's digital experiments by connecting complex data sets and performing statistical analyses on this data.  To be successful in this role you will ideally have: Desirable: Our Promise to Our People We are passionate about our core values of Customer First, We Care, One Team, and Results Driven, which define how we approach our work. We recognise that our colleagues are the key to our success. That's why you can expect to be rewarded for the hard work you put in through job satisfaction, career development and the fantastic range of benefits we offer:  What's in it for you? Who is Greenstone?  Greenstone distributes insurance products under trusted brands such as Real Insurance, RSPCA Pet Insurance, Guardian, Medibank, Woolworths, Guide Dogs Pet Insurance, Kogan Life Insurance, Australian Seniors Insurance Agency and Choosi.  We are the leading distributor of direct Insurance products in the Australian insurance market. Since launching into the Financial Services sector in 2007, Greenstone has experienced a commanding volume of growth being recognised for our credible brands, customer focused values and people-driven work culture.  We are passionate about our core values, which contribute towards the positive culture that supports our employees, our customers and our community.  Great central location in Norwest Business Park, Bella Vista 2153 - only a short walk from Norwest Metro station (also direct bus access from Parramatta and Blacktown).  Apply Now  If this role interests you, we would love to hear from you! Please apply now or email [email protected]"
The world looks best in a portrait mode. So does our website :) Please tilt and enjoy the experience.,N/A,N/A,None,N/A
Data & Analytics Graduate,DuluxGroup,Clayton VIC,None,"“Did you know, our CEO Patrick Houlihan started at Dulux as a Grad?” Unlocking your full potential starts here DuluxGroup is proudly an equal opportunity employer. Talent is our only criteria. At DuluxGroup, we believe in the power to 'Imagine a better place', and we want you to be a part of it! You'll work with iconic, trusted household brands with a 100+ year history, have the stability of working for a global company and your work will have a real impact. Join us and be part of our growth trajectory as we continue to expand our business globally and innovate in our industry. You'll be trusted with meaningful work from day one and supported by leaders who care about your professional development. You’ll feel proud to work for a company that aligns to your values and prioritises the well-being of its employees and the world around us. DuluxGroup is made up of six main business areas comprising of 50 well recognised brands, from Yates, Selleys and Cabots plus many more. As part of the graduate program, you will rotate within your stream across these brands and business areas. Learning and career development From interactive workshops with your cohort, buddies and mentoring to lifelong learning on the job, we’re here to guide you and empower you to become the best version of yourself. You’ll work with a collaborative team, learn from experts, and grow your career with our diverse range of businesses and brands. Caring for our communities and the environment At DuluxGroup, we prioritise the safety of our employees, and we're committed to leaving the environment in a better place than we found it. We encourage our people to play give back to the communities in which we live and work, with our a role in their communities, including by offering a paid “Supporting Our Communities”paid Community Action Day and other programs. action day each year. An commitment to safety and sustainability also drives us to deliver on our vision of ""A Future Without Harm.” Flexible Work Rated #1 in Flexible work by Grad Australia in 2023. We understand that a “one size fits all” approach doesn’t work, and are committed to providing a flexible work environment that enables our people to be the best versions of themselves, at work and home. manage their work, family and lifestyle responsibilities in their own unique way. It is part of what we do and who we are. Our Values & Behaviours Dulux Group genuinely live and breathe our values; they underpin our high-performance culture and drive the delivery of our core purpose. Hiring Criteria We’re interested in people with diverse experience, from diverse backgrounds who are passionate about building a career with DuluxGroup. This means we’re looking for people who have: Work Requirements If you're ready to join a collaborative team that encourages you to imagine ""what if"" and invests in your success, we want to hear from you. Apply now to take the first step towards a rewarding career with DuluxGroup. Apply Now! Check out our grad page to find out more: https://au.prosple.com/graduate-employers/dulux-group Let us know by emailing [email protected] if you require any adjustments to the recruitment process so we can support you to present your best self."
Customer Data Analyst,Mecca Brands Pty Ltd,Victoria,Junior Digital Data Analyst,N/A
"Lead Data Analyst, Growth",Canva,Sydney NSW,None,
Data Analyst,Department of Employment and Workplace Relations,Canberra ACT,None,"About the Department of Employment and Workplace Relations We enable access to quality skills, training and employment services to support Australians find secure work in fair, productive and safe workplaces – supporting individuals and our nation to prosper.  The Role The Quality Assurance and Risk Management Branch ensures job seekers, employers and the department are receiving value for money services through data analysis and review of claims and payments data, investigating fraud and sharp practice, targeted assurance activities and identifying risks and mitigations. We have multiple positions within the branch, you should consider applying if you have skills relating to one or more of the following areas: How to apply for jobs in the Australian Public Service (APSC Guide) Opens in new window Job Information Pack Opens in new window"
Data Analyst/System Admin,Service Stream,Queensland,None,N/A
Data Insights & Analytics Analyst,Telstra,Australia,None,N/A
Staff Data Analyst - Growth,Canva,Sydney NSW,Senior Data Analyst,
"
Data Analyst
    
",N/A,N/A,None,N/A
Junior Sustainability Data Analyst,JLL,"Level 40, Melbourne VIC",None,N/A
Data Analyst,Reserve Bank of Australia,Sydney NSW,Senior Data Analyst,N/A
Marketing Technology Data Analyst,Deakin University,Melbourne VIC,None,"Founded in 1974, Deakin is a public university in Victoria with 61,000 students across five campuses: Melbourne Burwood, Geelong Waurn Ponds, Geelong Waterfront, Warrnambool, and the online Campus. We are a progressive and open-minded university, with the highest student satisfaction in Victoria and consistently ranked in the top 1% of the world’s universities. As a Marketing Technology (MarTech) Data Analyst, you will be responsible for developing data and development solutions to enable marketing automation programs delivered to Deakin’s prospective student market. You will be integral in building advanced queries and processes for a seamless user experience and optimal performance, as well as producing well-structured solutions that are tested and of a high production standard using Deakin’s MarTech infrastructure. Working within a team of marketing specialists, you will drive continuous improvement of data driven marketing techniques across the Marketing and Recruitment Division and showcase the value of these techniques by delivering growth in applications to Deakin. Your key responsibilities will include:To be successful, you’ll have:  Applications for this position close on Sunday, 23rd July. SPECIAL REQUIREMENTS Please submit your updated resume and a short cover letter outlining your skills and experience for this role. For a confidential discussion regarding this position, please contact James Tonkin, Director, Digital Marketing at [email protected] Are You Ready? Deakin is a Victorian university with a global impact. We are an agile, dynamic, and innovative university committed to making a positive impact through our excellence in education, research and innovation and the contributions we make to the wider community. We understand that our reputation has been built on the dedication and expertise of our staff and we offer a dynamic and diverse working environment with opportunities to grow and develop careers. We believe that a progressive, thriving culture will ensure that people choose to come, and stay at Deakin and contribute to our ongoing success. We value diversity and aim to build an inclusive environment that champions, embraces and respects differences. We support and encourage applications from Aboriginal and Torres Strait Islander people, and people of all abilities, cultures, sexual orientation, and genders.Advertised: 14 Jul 2023 AUS Eastern Standard Time"
Data Analyst,Cleanaway,Melbourne VIC,None," Who we are When you start to think of waste as a resource, it opens up a world of possibilities. Cleanaway is the largest waste management company in Australia providing sustainable waste management solutions to a range of customers including councils, small businesses, large corporate entities and government agencies to provide sustainable waste management solutions. The position Cleanaway is an essential service with environmental causes and sustainability in mind. In order to be efficient and to succeed in its good to great journey, many data sources need to be harnessed. The data landscape is vast, incorporating huge amounts of data in all different shapes and sizes: Everything form Telemetry, IoT, trucks GPS and weight-bearing loads, production lines to HR systems, ERP, sales and more; Tens of source systems and complex data challenges. Skills and experience  Benefits  How to apply Cleanaway encourages and values diversity and inclusion. Aboriginal and Torres Strait Islander people are encouraged to apply. If this sounds like the opportunity you’ve been waiting for, please forward your resume and cover letter by clicking “Apply”. www.cleanaway.com.au Advertised: 06 Jul 2023 AUS Eastern Standard Time Applications close: 05 Aug 2023 AUS Eastern Standard Time"
Junior Data Analyst/Scientist,International Institute of Data & Analytics,Sydney NSW,None,"The International Institute of Data & Analytics (IDA) is a not-for-profit hi-tech organization with foci on data science and big data analytics innovation, education and training, and commercialization and services. IDA offers unique experiences and engagement models for bridging the gaps between academia and business, enabling industry and government `easy to do business with’ leading scientists and specialists in data & analytics, and building a platform for engagements and collaborations between outstanding researchers, practitioners and educators. In data science and big data analytics, the IDA creates enablers for:You shall find the IDA team very self-motivated, high standard and forward thinking focused, and highly hands-on. Responsibilities QualificationsContact: [email protected]om"
Senior Data Analyst,Australian Government - Department of Education,Perth WA,None," About the Department of Education We contribute to Australia's economic prosperity and social wellbeing by creating opportunities and driving better outcomes through access to quality education and learning.  The Role The School Assurance Branch (the Branch), operating in a complex co-regulatory environment comprising Commonwealth and State and Territory governments, is responsible for the assurance of Commonwealth school funding provided under the Australian Education Act 2013 (the Act) and the Australian Education Regulation 2013 (the Regulation), ensuring the accuracy and integrity of payments through an assurance and compliance program delivered under an Assurance Framework, supported by legislation. The Branch is structured in a way that prevents, detects and responds to non-compliance.  The Branch supports a positive, collaborative, and inclusive culture supporting cohesive teams and continuous business improvement in our processes and work in partnership with stakeholders.  The Branch is seeking highly skilled and self-motivated professionals to fill APS6 Data Analyst roles to provide data analysis and advice with regard to school financial assurance and compliance with the Act and the Regulation. The Data Analysts are responsible for undertaking data analysis in relation to a number of financial assurance and compliance activities undertaken by the Branch. These include analysis of financial questionnaire data, block allocation reports, students with disability data, risk modelling, and dashboard reporting.  Duties and Responsibilities You will work collaboratively with internal and external stakeholders in relation to financial assurance and compliance activities outlined in the Schools Funding Assurance Framework, to collect information and analyse data and reports relating to the Australian schools sector and compliance with the requirements of the Act and the Regulation.  Responsibilities include, but are not limited to: How to apply for jobs in the Australian Public Service (APSC Guide) Opens in new window Job Information Pack Opens in new window"
Junior Data Analyst (Contract),Veeva Systems,Sydney NSW,None,"RequirementsNice to HaveVeeva’s headquarters is located in the San Francisco Bay Area with offices in more than 15 countries around the world. Veeva is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, sex, sexual orientation, gender identity or expression, religion, national origin or ancestry, age, disability, marital status, pregnancy, protected veteran status, protected genetic information, political affiliation, or any other characteristics protected by local laws, regulations, or ordinances."
Data Analyst,Littlepay,"121 King Street, Melbourne VIC 3000",None,"About us We’re Littlepay - a successful and growing fintech headquartered in Melbourne with operations in the UK, EU and USA. We are the world's only payment processor specialising in the transit and mobility sector. We operate a payments platform that enables customers to pay for public transport using any payment card, mobile wallet, or wearable device. Littlepay is now processing transactions in 12 countries and continuing to expand globally. Our Littlepay values: About the opportunity Reporting to the Delivery Lead, the Data Analyst will take ownership for the delivery of reports and in-sights, adding value for internal and external customers. You will need tobe curious, proactive and motivated to provide the best experience for customers and partners in the transit and mobility sectors. Day to day, you'll: Our platform tech About you Ideally, you’ll have: Why us? We love to look after our people. At Littlepay, you'll be part of an inclusive and diverse team that celebrates the differences and unique gifts we each bring to work. You’ll have access to: You’ll also be able to take up the numerous other benefits that working at Littlepay affords you - including being part of a growing community of innovators at Stone and Chalk, where we enjoy lunch ‘n’ learns, summertime barbeques, ping pong tournaments, fortnightly drinks, catered breakfasts and morning teas, and more. Our recruitment process If you’ve been shortlisted for the role, you’ll first have a chat with our Head of Talent, who will set up an interview if the stars align. A short workplace preferences questionnaire will also be sent to help us learn more about the way you prefer to work. Following a successful first interview, you’ll be sent a coding challenge. If we like what we see, we’ll invite you to meet with a second set of Littlepay folks before presenting an offer. If you have any questions regarding the recruitment process or if you require any accommodations for any stage in the interview process, please let us know. Additionally, if you don’t meet all of the criteria (we know that some underrepresented groups tend to avoid applying if they don’t), please still apply. We really enjoy meeting people who might bring a fresh perspective on a problem we need to solve! Ultimately, being part of our small but mighty team means you'll have the opportunity to learn about micropayments, and have a hand in the provision of services that impact millions of people. You’ll help us deliver on our revolutionary product roadmap and help scale our platform as we continue to expand across the globe. If this opportunity interests you, hit apply! We look forward to learning about you. Littlepay are a 2023 Circle Back Initiative Employer – we commit to respond to every applicant."
Data Analyst - Supply Chain Intern,Northrop Grumman,Springfield QLD,None," Northrop Grumman Australia interns and early career employees get exposure to how some of the top minds from across many different functions turn ideas into outcomes. Our interns work on projects in aerospace, engineering, information technology, business management, logistics, human resources and all functions across the enterprise. We want you – your perspective and ideas – to propel us forward Embedded with our full time employees, you can expect to experience real-world activities, tasks and projects that make a difference. One of our values is a commitment to shared success, so our assurance to you is to give you experiences and exposure preparing you to work with high performing and dynamic teams. This year, we are launching another Summer Internship program starting in December 2023 through to March 2024. Your Internship: We have 2 positions within the Supply Chain team as below: Supply Data Analyst: Position 1 As our new Supply Data Analyst Intern will have the opportunity to contribute to building bill of materials information to support C27J Spares planning requirement; development of planning processes, automated outputs that support real time planning on key customer deliverables. Some of your project deliverables will include understanding the required key data inputs and designing Supply bill of material planning workflow & establishing key outputs from understanding customer deliverables and in consultation with SME’s, Program Leadership. This internship is suitable for someone completing an Aviation Management or Supply Chain Management degree. This internship will be based at Springfield Lakes, Brisbane. Supply Data Analyst: Position 2 As our new Supply Data Analyst Intern you will have the opportunity to contribute to building critical meaningful business information to support C27J Spares data analysis; development of supply metrics, dashboards, automated reports and SharePoint pages that equips real time reporting on key customer deliverables. Some of your project deliverables will include understanding the required key metrics and designing Supply metric dashboard & establishing key reports from understanding customer deliverables and in consultation with SME’s, Program Leadership. This internship is suitable for someone completing an Aviation Management or Supply Chain Management degree. This internship will be based at Springfield Lakes, Brisbane. Applications requirements: Due to the competitive nature of engineering internships, all applications must include: Applications must be received on our careers page by 21st of July, 2023. What’s in in it for you? Defining Possible is our mantra and we are committed to making sure that works for our people’s careers too. What’s Your Possible? Everyone Matters: Doing the Right Thing and Sharing Success are two values underpinning how we behave at Northrop Grumman. Here, everyone matters and we proudly encourage individuals from all backgrounds and all abilities to apply to join our diverse and inclusive workforce. Aboriginal and Torres Strait Islander people are welcome and encouraged to apply. As a Defence security clearance is required for this role, applicants must be Australian Citizens. International Traffic in Arms Regulations (ITAR) are applicable, as such your nationality may be a factor in determining your suitability for this role. You will need to satisfy pre-employment drug & alcohol testing, police checks and employment screening verification."
Erskine Park | Logistics Analyst,DHL,New South Wales,None," As a Logistics Analyst at DHL, you will utilise your analytical skills to resolve daily logistical challenges to ensure our customer warehouse operations run smoothly. You will have the autonomy to make decisions and be given the opportunity to develop professionally. Your duties will include: Please Note DHL Internal applications close on Monday 24th July. We are the world's leading contract logistics company and when you work with us you'll find that we value each other's differences whilst recognising individual strengths. We never forget that you make us who we are and we work hard to make sure a career with DHL is as satisfying and successful as it can be. Join a supportive work environment where you'll have the tools and training you need to grow and succeed. Beyond our impressive culture, we also offer our employees:DHL Supply Chain is committed to fostering an environment where employees feel comfortable to balance their priorities, work commitments, team engagement and work/life balance in collaboration with their manager, ensuring good and productive outcomes for all. We will support flexible working arrangements that are tailored to the individual role requirements. Join us and find out why DHL Supply Chain Australia is a Great Place To Work certified."
Cubiko – Data Analyst,Cubiko Pty Ltd,Fortitude Valley QLD 4006,Senior Data Analyst,"We are currently seeking a Data Analyst who is interested in making a meaningful difference in Australian Healthcare during the COVID-19 crisis and beyond. About the Role Our Data Analysts work to understand our users, their pain points, and gaps where we can help them make data-driven decisions and improve their way of working. Your role will involve working with internal and external subject matter experts to understand what information will help them run their business and develop data visualisations to make data accessible to them in a timely and intuitive way. As a Data Analyst at Cubiko your day-to-day will include: The role will expand as our team continues to grow and we're active in providing plenty of opportunities for professional development and learning new technologies. About you You are smart, innovative and eager to apply your solutions to real-life problems. People seek you out for your technical excellence. You love building things and are involved in a bunch of cool projects that you’re excited to talk about and show. You’re approachable, dependable and genuine. You care about getting to know people and love working as part of a team to deliver more than the sum of its parts. At Cubiko we value diversity in our people and the ideas they bring. We look after our team and pride ourselves on our supportive and friendly culture. We’re looking for people who identify with our values whilst also bringing their own individual perspectives to their work. As a minimum, you will have: All Cubiko staff are required to undergo a National Police Clearance check. What we do Cubiko is a first-of-its-kind solution that displays data in easy-to-understand dashboards, providing medical practices with a visual representation of their practice data alongside selected metrics and key performance indicators. Combined sets of data, reported over time, and displayed in easy to understand visualisations help our users to understand whether the key parts of their business are performing as they need to be and where they can make changes to improve their business and their patient healthcare outcomes. To learn more, check out www.cubiko.com.au What we value We live these values every day. What we offerIf this sounds like you and you'd like to join the Cubiko team. Great! Please apply via the ""Apply For This Job"" form, and we'll be in touch. Don't hesitate to contact Shelby Murray, Cubiko, on 1300 CUBIKO (1300 282 456) for any questions or further details about the role. * Direct applicants only, please. We are not currently accepting candidates from recruitment agencies*"
Graduate Data Analyst,Finity,Sydney NSW,None, An exciting opportunity has arisen for a graduate Data Analyst to join our Insurance Statistics Australia (ISA) team.
Senior Vehicle Data Analyst,carsales,Melbourne VIC,None," Are you ready to be a big part of something big? At carsales, we're all about making buying and selling a great experience. For 25 years we’ve been evolving with the new economy to help people choose how they move today and tomorrow. When it comes to your career, we want to provide big opportunities to help you make a big impact. But for this to be possible, we strive to feel small. Small enough to quickly change tack, small enough to learn from different departments and small enough to connect authentically with leadership. Not something you’d expect from one of the country’s biggest tech companies, is it? And one of the best parts? We give you the autonomy to choose the working location that best suits your lifestyle – Office, Hybrid or Anywhere. RedBook is the leading provider of vehicle identification and pricing data services in Australia. We have been researching the automotive market for over 70 years, and are a trusted business partner within the auto, finance, and insurance industries. This is your opportunity to join the RedBook Pricing and Insights team as a Senior Vehicle Data Analyst. This team looks after everything to do with vehicle valuation services, from current used vehicle pricing to residual value forecasts. What’s on offer: What you will do What we are looking for A few other things we want to let you know about... So come and join our team - because every role is a big role in our plans to go big."
"
                                        a2 Milk Home Page                                    ",N/A,N/A,Senior Data Analyst,N/A
Data Analyst,DNA Talent,Melbourne VIC,None," About the Company Our Client achieves widespread adoption of emerging technologies such as blockchain by creating superior entertainment experiences focused on consumers. About the Role Our client is looking for a Data Analyst who will be a champion of data, empowered to help the Marketing department find an equilibrium between art and science. Will do so by sourcing, validating, and interpreting data that helps to understand players. An understanding that will inform strategic decisions and help achieve the objectives. ResponsibilitiesQualifications"
Master Data Analyst,Danone,Sydney NSW,None,"We are excited about the new opportunity for a Master Data Analyst as part of our talented Master Data team based in Chatswood, Sydney. As one of the key members of the team, you will manage and analyse large data sets to ensure accuracy, consistency, and integrity. Reporting to Master Data Manager, you will provide efficient support to the daily operations of Danone whilst maintaining a high level of data integrity. You will work closely with a variety of internal stakeholders across Australia and New Zealand as well as partner with external auditors as part of Danone’s compliance due diligence. Your responsibilities will include (but are not limited to):You are a proactive and energetic professional who has expertise in data governance, data quality, and data management. You enjoy working with data and within an area of a business where detail is key. You will have strong relationship building skills and enjoy working with a variety of internal stakeholders to provide guidance and advice around all things Master Data. Ideally, you will have: Do things your way. The way you work, the way you develop, the way you progress, it’s all up to you. Working here you’ll need to enjoy a fast-pace, complexity and it can get a little challenging, but it’s packed with opportunities. You’ll work with some of the best-known brands in the world, such as YoPro, Activia, Aptamil and Karicare, and we guarantee that you can just be yourself. Always looking to bring the outside in to continuously improve our ways of working as well as our Danoners day to day experiences, we have been awarded – Be innovative and entrepreneurial and the impact you could make might just amaze you. Join our movement for a healthier world. One Planet One Health BY YOU. Danone is an equal opportunities employer. We encourage all qualified applicants to apply regardless of race, colour, religion, sex, national origin, or disability status. If you require any assistance during the recruitment process because of a disability, please enclose details within your application. WE OFFER Here at Danone, we are passionate about our people and their development. Through a variety of performance and development conversations throughout the year, you are in the driver’s seat of where your career will take you. As well as this we also offer - We believe everyone has talent, something which comes naturally to you. Your uniqueness is something that brings both excellence as well as energises you HOW TO APPLY If this sounds like the perfect opportunity for you to really make this role your own, please hit the APPLY button now!"
Senior Data Analyst,MVP1 Ventures,N/A,None,Responsibilities:Skill-set required:Interested candidates can share cv to [email protected]
Data Analyst,NSW Government -Environment and Heritage Group,New South Wales,None,"Do you want your work to make a difference for NSW? Together, we create thriving environments, communities and economies. The Credits Supply Taskforce (the Taskforce) are seeking to appoint a Data Analyst to provide spatial and non-spatial data products and reporting services to assist the Taskforce in supporting NSW landholders and development proponents with the supply of biodiversity credits across the State. About You This is an exciting opportunity to actively contribute to the NSW Biodiversity Offsets Scheme by providing data, technical advice and reports to support and inform environmental regulation, environmental programs, associated policies and strategies, often within tight deadlines. You will demonstrate your specialist data knowledge and skills by providing high standards of reporting, technical support and expert advice to internal, front-line operational staff, and external stakeholders. To be the successful applicate for this position you will require: For more information read the full Role Description: Data Analyst For more information hit Apply to visit the iworkfor.nsw.gov.au website. About Us The Department of Planning and Environment’s (DPE) vision is to create thriving environments, communities and economies for the people of New South Wales. We strive to be a high-performing, world-class public service organisation that celebrates and reflects the full diversity of the community we serve and seeks to embed Aboriginal cultural awareness and knowledge throughout the department. In our inclusive and accessible workplace, differences are embraced, contributions are valued, and everyone has a sense of connection and belonging. DPE supports various employee affinity groups, practice flexible working, offer job share and workplace adjustments. Participation in the NSW Biodiversity Offsets Scheme (BOS) Please read the Biodiversity Offsets Scheme Protocol to understand if it applies to your circumstances. All applicants for this role and new employees with an existing defined interest in the BOS will be required to disclose their personal (or a close family member’s) participation to ensure potential conflict of interests are declared and managed appropriately. To Apply If excited by the information above, we look forward to receiving your application, including a copy of your resume and cover letter expressing your interest and suitability for the role. DPE strongly recommends all applicants who can be safely vaccinated for COVID-19, to be so. Applications close Sunday 6 August 2023 at 11:55PM. Should you require further information about the role please contact Mark Noonan via [email protected] or on 0417 202 783 A recruitment pool may be created for ongoing and temporary opportunities of the same role or role type that may become available over the next 18 months. Looking for more information or assistance in applying? Our Diversity team can assist to: We encourage people with disability to apply. If you have disability and require more information on adjustments and assistance to apply, contact the Diversity team on [email protected] (please include reference number).   If you are an Aboriginal or Torres Strait Islander check out Our Mob on Country to see the work we do and get assistance in applying. We encourage people with disability to apply. If you have disability and require more information on adjustments and assistance to apply, contact the Diversity team on [email protected] (please include reference number). Find us on Facebook, Instagram, and LinkedIn Find us here:  https://www.facebook.com/NSWDPIE https://www.instagram.com/nswenviromedia/ https://www.linkedin.com/company/nswdpie/"
Business Analyst Data Warehousing Specialist,Hudson Australia,Brisbane QLD,None,"Business Analyst Data Warehousing Specialist  We are currently seeking a highly skilled and experienced Business Analyst Data Warehousing Specialist. Play a crucial role in a newly developed Data Management Program, contributing to the development and ongoing management of data warehousing, analytics, and reporting services.   Role Responsibilities: As a Business Analyst Data Warehousing Specialist, you will be responsible for the following activities: Required Capabilities and Experience: To be successful in this role, you should have the following qualifications and skills: Leadership, Teamwork, and Collaboration: As a Business Analyst Data Warehousing Specialist, you will work under the direction of the Director - Business Intelligence and collaborate with the wider BI team. You will also have key relationships with other teams, including the Data Platform Services Project team. You will be part of a multidisciplinary program team that requires flexibility and the ability to work across boundaries.  If you meet the above requirements and are eager to contribute to the development and management of data assets, please submit your application including a cover letter and detailed resume.  Ref: 229747"
2023 / 2024 Corporate Analyst Development Program - Summer Analyst - Sydney,JPMorgan Chase & Co,Australia,None," Spend your summer working with our industry experts to identify opportunities and create efficiencies that support our global business. You will make meaningful contributions while developing your professional expertise in a dynamic team environment.   What to expect This 9-week program in Sydney — a talent pipeline for our full-time rotational Corporate Analyst Development Program — will provide you with the opportunity to work with colleagues across various lines of business to drive growth, innovation, ensure operational effectiveness, manage risk and maintain our global reputation for excellence. You will gain insight into various phases of key business projects and initiatives across the firm. You will also see how our businesses come together to serve our clients around the world. During the internship, you’ll start with hands-on training and then you will have the opportunity to develop your foundational skills within either our Operations or Compliance teams, in one of three core business disciplines: By working in one of the above disciplines, you will gain a comprehensive view of the firm. You will build your knowledge, network, and experience in a fast-paced, collaborative environment. Upon successful completion of the 9 week internship, you may receive an offer of full-time employment.   About Operations Operations are at the core of managing every transaction at the bank through its life cycle. Operations work closely with various divisions such as risk and controls, technology, client service, product owners and trading to execute client deliveries, initiate projects to enhance processes and/or control framework, and implement regulatory changes. About Compliance Our Compliance organization is at the forefront of a dynamic regulatory environment, safeguarding the firm’s business by developing solutions that balance regulatory requirements and the firm’s business needs.  Our teams work globally and across all lines of business. We give advice to internal stakeholders on the impact of regulatory requirements, new business strategies, product lines, policies and education, operational processes, risk mitigation and control. About you You are a motivated individual with the vision and initiative to develop solutions that drive change. All majors are welcome to apply.   Key Attributes and Qualifications include: Our summer internship program is a pipeline for future graduate opportunities. Based on individual achievements, those who successfully complete the program may receive offers of full-time employment with the firm in 2025. For students completing their final year in 2023, with anticipated graduation date by December 2023, may be considered for full-time employment with the firm in 2024. What's next?  Submit a complete and thoughtful application, which includes your resume. Your application and resume is a way for us to initially get to know you. It’s important to complete all relevant application questions, so we have as much information about you as possible. To start the application, you will be prompted to enter your email address. Your email address will be used to create and maintain your profile so make sure it is one you will have long term access to. Do not use an email address with “.edu” extension as doing so could result in delays receiving updates regarding your candidacy. After you confirm your application, we will review it to determine whether you meet certain required qualifications. If you are advanced to the next step of the process, you’ll receive an email invitation to complete a video interview, powered by HireVue. This is your opportunity to further bring your resume to life and showcase your experience for our recruiting team and hiring managers. Completion of the HireVue video interview is required, and your application will not be considered for further review until you have completed it. We strongly encourage that you apply and complete this as soon as possible, since programs will close as positions are filled. Application Deadline August 13, 2023 (23:59 AEST) JPMorgan Chase is committed to creating an inclusive work environment that respects all people for their unique skills, backgrounds and professional experiences. We strive to hire qualified, diverse candidates, and we will provide reasonable accommodations for known disabilities. Please email us at [email protected] for any enquiries, and visit jpmorganchase.com/careers for upcoming events, career advice, our locations and more. ©2023 JPMorgan Chase & Co. JPMorgan Chase is an equal opportunity and affirmative action employer Disability/Veteran. JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world’s most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management.  We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants’ and employees’ religious practices and beliefs, as well as any mental health or physical disability needs."
Data & Insights Analyst,nib NZ,Sydney NSW,None,N/A
Principal Analyst,Queensland Health,Gold Coast QLD,None,N/A
